,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio,INDEX
76,"(['DRD2', 'OG'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
77,"(['DRD2', 'MGMT'], [True, True])",0.375,0.5,0.0,0.5,0.7142857142857143,0.5,0.5249999999999999,0.75,0.0,0.7,
78,"(['DRD2', 'IDH1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
79,"(['DRD2', 'HIF1a'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
80,"(['DRD2', 'iNOS'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
81,"(['DRD2', 'COX2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
82,"(['DRD2', 'PERK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
83,"(['DRD2', 'ELF2a'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
84,"(['DRD2', 'IRE1a'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
85,"(['DRD2', 'TGFbR'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
86,"(['DRD2', 'SMAD23'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
87,"(['DRD2', 'MEKK1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
88,"(['DRD2', 'JNK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
89,"(['DRD2', 'sGC'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
90,"(['DRD2', 'PKG'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
91,"(['DRD2', 'PPARa'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
92,"(['DRD2', 'PPARg'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
