,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(3, 33)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 34)",1.2,1.466666667,1.466666667,1.2,1.466666667,1.466666667,1.2,1.2
"(3, 35)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 36)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(4, 4)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 5)",0.733333333,1.2,1.933333333,0.733333333,1.933333333,1.2,0.733333333,0.733333333
"(4, 6)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 7)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 8)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 9)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 10)",1,1,14.03333333,1,14.03333333,1,1,1
"(4, 11)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 12)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 13)",0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"(4, 14)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 15)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 16)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 17)",1,1,14.03333333,1,14.03333333,1,1,1
